Key;Recommendation_1;Recommendation_2;Recommendation_3;Recommendation_4;Recommendation_5;Recommendation_6;Recommendation_7;Recommendation_8
71928304560;7675047436;7675014104;7675055167;7675006360;7675043152;7675008491;7675008494;7675021220
7675005060;7675008516;7675011279;7675021502;7675014042;7675014925;7675005098;7675011448;7675018144
7675005062;7675010296;7675005114;7675024174;7675008224;7675008839;7675011444;7675005186;7675019791
7675005072;7675005282;7675011448;7675006131;7675013822;7675040957;7675026138;7675013151;7675054399
7675005083;7675025739;7675051390;7675040907;7675009821;7675021502;7675017298;7675005060;7675008516
7675005088;7675009821;7675014213;7675018242;7675005060;7675011355;7675039664;7675054802;7675040907
7675005089;7675039664;7675014925;7675005060;7675005088;7675010719;7675011668;7675010404;7675021502
7675005098;7675005060;7675019791;7675014057;7675014925;7675011279;7675008516;7675021502;7675005088
7675005101;7675009902;7675040907;7675025739;7675023536;7675017298;7675009821;7675030650;7675005083
7675005114;7675009821;7675005062;7675005088;7675008839;7675014213;7675024174;7675014036;7675009902
7675005145;7675018242;7675020053;7675028773;7675014925;7675021502;7675005098;7675014213;7675014036
7675005179;7675023354;7675020689;7675005088;7675054802;7675014706;7675038176;7675011355;7675014339
7675005183;7675008516;7675005060;7675020686;7675011279;7675021502;7675005098;7675025739;7675014036
7675005186;7675054802;7675017298;7675040907;7675044128;7675028773;7675009821;7675006748;7675005062
7675005282;7675009821;7675017298;7675005072;7675018144;7675011448;7675045341;7675011355;7675052415
7675005287;7675039571;7675027799;7675008221;7675050504;7675050921;7675021220;7675048968;7675048776
7675005895;7675044441;7675021220;7675018144;7675042385;7675017864;7675010388;7675052415;7675044267
7675006041;7675020689;7675014213;7675010296;7675005089;7675014355;7675005083;7675014925;7675008224
7675006103;7675018026;7675011262;7675019936;7675014706;7675006748;7675013714;7675011279;7675018144
7675006131;7675020944;7675019791;7675011360;7675021502;7675014213;7675023446;7675011355;7675042146
7675006146;7675017298;7675006748;7675023536;7675005101;7675014213;7675019523;7675005186;7675009821
7675006325;7675042172;7675030650;7675016964;7675025986;7675044187;7675011441;7675054787;71928304560
7675006326;7675008492;7675019540;7675018026;7675008676;7675023445;7675012616;7675023846;7675043152
7675006328;7675008840;7675009903;7675051539;7675012805;7675050928;7675044267;7675042942;7675041083
7675006352;7675011663;7675005088;7675011355;7675005083;7675005060;7675039664;7675014213;7675044128
7675006360;7675055167;7675025986;7675014920;71928304560;7675022808;7675014042;7675039084;7675008491
7675006364;7675018242;7675042146;7675050924;7675024174;7675027269;7675055594;7675012542;7675042172
7675006384;7675017195;7675047331;7675028737;7675012805;7675058640;7675008894;7675023533;7675051539
7675006391;7675014338;7675005179;7675011355;7675005088;7675008598;7675014104;7675047664;7675027799
7675006508;7675005145;7675016159;7675038529;7675012841;7675008598;7675013550;7675048776;7675011534
7675006748;7675008224;7675014213;7675005088;7675005083;7675054802;7675005114;7675005186;7675006146
7675008221;7675016856;7675039337;7675028763;7675043581;7675014338;7675015543;7675018135;7675009995
7675008224;7675018242;7675011668;7675006748;7675011444;7675005062;7675014925;7675014355;7675012847
7675008490;7675025986;7675010065;7675051415;7675051413;7675008494;7675027112;7675051405;7675028931
7675008491;7675055167;7675019652;7675010065;7675047436;7675010201;7675019654;7675041489;7675054771
7675008492;7675006326;7675010362;7675054802;7675052085;7675005088;7675005060;7675006360;7675010723
7675008494;7675008490;71928304560;7675051415;7675038529;7675010403;7675028755;7675051413;7675051405
7675008516;7675011279;7675005060;7675050924;7675021502;7675014057;7675052415;7675051413;7675005083
7675008547;7675054399;7675008598;7675008763;7675011534;7675010298;7675011443;7675006391;7675013800
7675008589;7675014057;7675012438;7675046372;7675010298;7675006352;7675008491;7675010343;7675014104
7675008598;7675030433;7675008547;7675011441;7675010298;7675008763;7675011710;7675011534;7675011443
7675008658;7675017385;7675028931;7675014920;7675008491;7675012816;7675012542;7675010201;7675016280
7675008676;7675016655;7675039571;7675006326;7675014056;7675012918;7675014338;7675011441;7675012438
7675008714;7675057763;7675023445;7675008491;7675026138;7675005072;7675034571;7675019794;7675015711
7675008763;7675020686;7675005183;7675008598;7675010298;7675008547;7675011534;7675014307;7675011443
7675008839;7675014213;7675040907;7675019791;7675005062;7675005114;7675011668;7675010296;7675009821
7675008840;7675006328;7675010388;7675054399;7675011710;7675005101;7675050921;7675028755;7675029813
7675008894;7675047331;7675023533;7675045749;7675012805;7675014307;7675017195;7675027269;7675018767
7675008910;7675010214;7675035901;7675011265;7675033651;7675011534;7675016133;7675019630;7675016202
7675008913;7675012405;7675014338;7675008224;7675051390;7675010404;7675008910;7675024174;7675042189
7675008930;7675023536;7675019523;7675017298;7675025739;7675040907;7675009821;7675005101;7675051390
7675009642;7675011449;7675023691;7675023692;7675010065;7675052415;7675022808;7675019650;7675012841
7675009643;7675009645;7675009646;7675019801;7675021502;7675005072;7675011265;7675039571;7675008913
7675009644;7675023446;7675039267;7675018026;7675009645;7675050497;7675050869;7675054584;7675047436
7675009645;7675046372;7675039267;7675026459;7675019653;7675028720;7675050921;7675012542;7675010065
7675009646;7675010214;7675011265;7675008910;7675016133;7675009643;7675035901;7675011263;7675051560
7675009648;7675005145;7675028931;7675047664;7675019653;7675019540;7675014920;7675011442;7675009645
7675009720;7675030433;7675014104;7675011441;7675014920;7675028763;7675028770;7675019652;7675012816
7675009821;7675017298;7675005282;7675040907;7675018144;7675011448;7675025739;7675005083;7675051390
7675009902;7675040907;7675005101;7675025739;7675017298;7675009821;7675030650;7675023536;7675051390
7675009903;7675006328;7675014307;7675042942;7675051539;7675027112;7675039084;7675023533;7675012805
7675009995;7675054406;7675019540;7675011449;7675021466;7675052085;7675011451;7675027802;7675011361
7675010057;7675051415;7675021466;7675008490;7675051405;7675051413;7675014057;7675028931;7675014821
7675010065;7675008490;7675025986;7675008491;7675027112;7675014307;7675055167;7675011443;7675019652
7675010157;7675012847;7675018242;7675027255;7675019523;7675005088;7675030650;7675018026;7675020878
7675010201;7675027112;7675008491;7675055167;7675011449;7675039084;7675006360;7675044150;7675019652
7675010214;7675010567;7675016202;7675019630;7675013395;7675033651;7675012598;7675037176;7675035901
7675010245;7675051409;7675050442;7675011441;7675055167;7675008598;7675020688;7675010343;7675014920
7675010296;7675011668;7675039664;7675005062;7675011448;7675009821;7675040907;7675014213;7675006041
7675010298;7675028770;7675013539;7675008598;7675008763;7675013944;7675008547;7675013550;7675011534
7675010343;7675039267;7675010245;7675011441;7675008490;7675044128;7675054406;7675018026;7675050397
7675010362;7675014925;7675020689;7675039664;7675011355;7675005088;7675008492;7675054802;7675005060
7675010388;7675050921;7675029813;7675038123;7675021220;7675018767;7675040907;7675050928;7675012918
7675010403;7675014338;7675011443;7675012405;7675008494;7675019055;7675012830;7675006146;7675042189
7675010404;7675010719;7675012763;7675023692;7675011360;7675039664;7675050921;7675005089;7675029813
7675010508;7675055594;7675047331;7675016856;7675038187;7675031676;7675005072;7675008494;7675019654
7675010565;7675039337;7675054787;7675050928;7675044187;7675045749;7675044197;7675050490;7675013151
7675010567;7675010214;7675019630;7675037176;7675012598;7675013395;7675016202;7675033651;7675022188
7675010719;7675010404;7675039664;7675005089;7675025833;7675039923;7675046542;7675016671;7675054802
7675010720;7675023691;7675008910;7675008913;7675017501;7675018026;7675039923;7675013822;7675014134
7675010723;7675053045;7675050442;7675037166;7675014339;7675008490;7675006352;7675030433;7675005183
7675011045;7675053045;7675005183;7675020689;7675014925;7675009821;7675005083;7675018242;7675005060
7675011174;7675012040;7675050442;7675028720;7675055665;7675009645;7675010245;7675024332;7675009648
7675011203;7675051411;7675038529;7675008491;7675052415;7675010065;7675025986;7675014042;7675015711
7675011262;7675019936;7675013822;7675019791;7675026138;7675006103;7675008516;7675023846;7675054600
7675011263;7675010214;7675010567;7675033651;7675016202;7675011265;7675012598;7675037176;7675054600
7675011264;7675013395;7675035901;7675052921;7675018349;7675019630;7675016202;7675033651;7675010567
7675011265;7675035901;7675010214;7675033651;7675016380;7675018349;7675037176;7675016202;7675054600
7675011279;7675008516;7675005060;7675021502;7675050924;7675014057;7675005098;7675051413;7675005083
7675011287;7675018767;7675012816;7675051405;7675011361;7675012542;7675027269;7675011441;7675042172
7675011291;7675019936;7675050442;7675038529;7675023691;7675030185;7675014920;7675008490;7675020688
7675011323;7675014036;7675005062;7675011263;7675019977;7675005114;7675008910;7675011265;7675012262
7675011355;7675009821;7675040907;7675051390;7675017298;7675005088;7675020689;7675039664;7675011448
7675011360;7675010404;7675006131;7675018242;7675042146;7675028773;7675021502;7675029813;7675012510
7675011361;7675018767;7675011287;7675027269;7675054406;7675014338;7675026138;7675011451;7675014920
7675011405;7675028720;7675026459;7675019653;7675047664;7675016621;7675010403;7675010065;7675010343
7675011441;7675051405;7675008598;7675012542;7675044128;7675006360;7675054406;7675011287;7675010245
7675011442;7675009648;7675018242;7675022808;7675047436;7675011355;7675027800;7675030652;7675010201
7675011443;7675008598;7675010065;7675008763;7675047436;7675010403;7675011441;7675008547;7675010298
7675011444;7675014355;7675008224;7675005088;7675047436;7675018242;7675005062;7675005114;7675006748
7675011448;7675009821;7675017298;7675018144;7675040907;7675005060;7675005282;7675026138;7675014925
7675011449;7675012760;7675009642;7675055167;7675039084;7675013151;7675012616;7675023533;7675015543
7675011451;7675053385;7675054406;7675050928;7675016942;7675009995;7675024174;7675011361;7675027257
7675011534;7675051415;7675008547;7675008763;7675022833;7675008598;7675038529;7675014354;7675010298
7675011588;7675052415;7675016133;7675050442;7675012816;7675048968;7675020103;7675048776;7675050497
7675011663;7675006352;7675038122;7675005060;7675044128;7675021220;7675010343;7675012841;7675050672
7675011668;7675012847;7675039664;7675010296;7675008224;7675005089;7675011448;7675008839;7675018242
7675011710;7675008598;7675010565;7675010298;7675012038;7675012041;7675023533;7675008840;7675014042
7675012038;7675012039;7675011710;7675019652;7675027803;7675014307;7675012041;7675013474;7675013550
7675012039;7675012038;7675044187;7675011710;7675014742;7675012041;7675019423;7675019055;7675027803
7675012040;7675010298;7675028763;7675011174;7675013550;7675010296;7675011710;7675008714;7675050397
7675012041;7675018767;7675014307;7675027802;7675027803;7675010298;7675012841;7675008763;7675011710
7675012042;7675019423;7675027803;7675012038;7675018144;7675012039;7675010065;7675013474;7675048968
7675012262;7675013975;7675019977;7675010214;7675033651;7675054600;7675050442;7675011263;7675016202
7675012405;7675017864;7675008598;7675010403;7675005895;7675038123;7675012510;7675054399;7675008913
7675012460;7675008894;7675020878;7675011534;7675022833;7675008840;7675012841;7675028737;7675056183
7675012481;7675054980;7675054771;7675012616;7675014134;7675019801;7675019423;7675023691;7675024720
7675012510;7675011360;7675012405;7675009903;7675008910;7675012038;7675010388;7675042172;7675010508
7675012542;7675051405;7675011441;7675011287;7675012816;7675050504;7675044128;7675023533;7675055594
7675012598;7675018349;7675033651;7675010567;7675016380;7675019630;7675037176;7675016202;7675013395
7675012616;7675052415;7675011449;7675051409;7675055167;7675018144;7675015543;7675041489;7675013151
7675012679;7675024332;7675054787;7675029814;7675017390;7675039084;7675016964;7675016159;7675009903
7675012760;7675011449;7675054771;7675025986;7675020688;7675015543;7675055167;7675014338;7675052415
7675012763;7675010404;7675016380;7675040907;7675014057;7675047255;7675025833;7675046542;7675023692
7675012805;7675047331;7675051539;7675008894;7675028737;7675020675;7675006384;7675058640;7675027257
7675012816;7675047448;7675011287;7675051405;7675012542;7675054399;7675019055;7675014307;7675014705
7675012830;7675013474;7675010403;7675013714;7675010298;7675047664;7675014920;7675008894;7675008221
7675012841;7675018767;7675054787;7675013474;7675012041;7675008598;7675010201;7675006508;7675023691
7675012847;7675011668;7675020944;7675011448;7675018242;7675039664;7675020689;7675008224;7675005088
7675012918;7675010388;7675016655;7675039571;7675014742;7675011441;7675008676;7675044128;7675026138
